id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/train/Mercury_412216,Este prezentată o lanț trofic. Lumina soarelui -> Iarba -> Iepure -> Șarpe. Care este factorul abiotic din acest lanț trofic?,A,Iepure,Iarba,Lumina soarelui,Șarpe,
ARC-Challenge/train/Mercury_7215198,"Las Vegas are acces la resurse regenerabile pentru generarea de energie electrică, printre care se numără și energia hidroelectrică. Care dintre aceste resurse energetice este regenerabilă și disponibilă pentru generarea de energie electrică în Las Vegas fără a degrada mediul înconjurător?",D,nucleară,geotermală,petrolul,solară,
ARC-Challenge/train/Mercury_183750,În care dintre scenariile de mai jos ar avea cel mai probabil loc selecția naturală?,A,schimbare rapidă și profundă a climei,distrugerea catastrofală a habitatului,secole de schimbări climatice treptate,pierderea imediată a sursei principale de hrană,
ARC-Challenge/train/Mercury_SC_408550,"Michelle a efectuat o investigație, dar rezultatele nu s-au potrivit cu ipoteza ei. Ce ar trebui să facă Michelle în continuare?",D,alegeți o investigație diferită,schimbați ipoteza pentru a se potrivi cu rezultatele,efectuați investigația într-un mod diferit,repetați investigația,
ARC-Challenge/train/Mercury_7084420,Corpul uman produce mișcare prin transformarea energiei chimice în energie mecanică. Care dintre următoarele descrie cel mai bine ce se întâmplă cu energia?,B,Energia este distrusă prin mișcare.,Cantitatea totală de energie este constantă.,Cantitatea totală de energie crește.,Cantitatea de energie chimică crește.,
ARC-Challenge/train/MCAS_1998_8_5,Care declarație despre fotosinteză și respirație este adevărată?,A,Fotosinteza și respirația sunt același proces.,"Respirația depozitează energie, iar fotosinteza eliberează energie.","Fotosinteza depozitează energie, iar respirația eliberează energie.",Fotosinteza și respirația nu au nicio legătură cu energia.,
ARC-Challenge/train/MCAS_8_2014_14,Un student utilizează următoarele caracteristici pentru a descrie un grup de obiecte în spațiu. * 200 de miliarde de stele * 30 de milioane de ani lumină de Pământ * 500 de ani lumină în diametru. La ce se referă cel mai probabil studentul?,A,o constelație,Universul,o galaxie,sistemul solar,
ARC-Challenge/train/MDSA_2007_8_47,Un buton de sonerie conține un electromagnet simplu. Care schimbare ar crește cel mai probabil forța electromagnetului?,D,un nucleu de aluminiu,mai puține bobine de sârmă,fire mai lungi,o sursă de putere mai mare,
ARC-Challenge/train/Mercury_7097248,Un producător de aparate electrocasnice și-a redimensionat ventilatorul electric original. Acesta a făcut noul ventilator mai eficient din punct de vedere energetic. Acest lucru înseamnă că noul ventilator,D,necesită mai mult curent electric decât ventilatorul original.,se rotește la o viteză mai mică decât ventilatorul original.,transformă mai mult curent electric în căldură.,reduces procentul de căldură pierdută în atmosferă.,
ARC-Challenge/train/Mercury_SC_408423,Marni aleargă 1500 de metri în jurul pistei școlii. Ce trebuie să afle pentru a-și calcula viteza?,A,ritmul inimii la linia de finish,numărul de pași pe care i-a făcut,timpul ei de la început până la final,direcția din care a început să alerge,
ARC-Challenge/train/Mercury_7056175,O companie farmaceutică a publicat rezultatele unui experiment limitat care investiga valoarea de protecție a unui compus chimic împotriva dozelor mari de raze UV asupra celulelor pielii. Mai târziu s-a descoperit că rezultatele nu erau reproductibile. Ce acțiune ar fi putut lua cercetătorii companiei pentru a evita publicarea unor rezultate eronate?,A,Utilizați diferite lungimi de undă ale radiațiilor.,Utilizați doar niveluri scăzute de radiații.,Realizați mai multe încercări.,Studiați rezultatele altor experimente similare înainte de a formula o ipoteză.,
ARC-Challenge/train/Mercury_417468,Un elev primește o diapozitivă cu celule dintr-o specie de producător dintr-un lanț alimentar. Elevul observă că celulele au cloroplaste. Care concluzie referitoare la lanțul alimentar este cea mai bine susținută de aceste descoperiri?,A,Producătorii din lanț sunt organisme unicelulare.,Lanțul alimentar se găsește într-un ecosistem terestru.,Producătorii capturează energia din lumina soarelui.,Lanțul alimentar conține mulți erbivori și omnivori.,
ARC-Challenge/train/Mercury_411029,"În trecutul geologic, factori abiotici cum ar fi erupțiile vulcanice au avut un impact asupra disponibilității resurselor. Cum pot erupțiile vulcanice influența disponibilitatea resurselor?",C,prin perturbarea luminii solare care ajunge la producători,prin cauzarea unor ploi mai puternice care să erodeze solul de deasupra,prin reducerea grosimii solului,prin faptul că suprafața Pământului devine mai caldă decât de obicei,
ARC-Challenge/train/MSA_2013_8_4,"Provocarea ovină a evoluției. O specie de oi trăiește pe insula scoțiană Hirta. Hirta are destulă iarbă pentru ca oile să se hrănească, și nu există prădători naturali ai oilor care să trăiască pe insulă. Unele oi au lână întunecată, iar altele au lână deschisă la culoare. Oile cu lână neagră tind să fie mult mai mari și mai puternice decât cele cu lână deschisă la culoare. Cu toate acestea, cercetătorii au descoperit că în ultimii 20 de ani, numărul oilor cu lână deschisă la culoare a crescut. De obicei, forța și dimensiunea ajută animalele să supraviețuiască și să se reproducă. Un nou prădător de oi este introdus pe insulă. Ce modificare a populației de oi va apărea cel mai probabil prima?",B,o creștere a populației de oi cu lână neagră,o scădere a populației de oi cu lână deschisă la culoare,o scădere a populației de oi cu lână neagră,o creștere a populației de oi cu lână deschisă la culoare,
ARC-Challenge/train/ACTAAP_2014_7_11,"Un profesor pune o ceașcă de cafea în suportul de ceașcă a unei mașini. Când mașina se oprește brusc, o parte din cafea se vărsă din ceașcă. Care afirmație explică cel mai bine de ce cafeaua se varsă?",A,Forța de oprire asupra mașinii determină o reacție egală și opusă din partea cafelei.,Cafeaua rămâne în mișcare pentru că o forță din suportul de ceașcă trage de cafea.,Cafeaua rămâne în mișcare pentru că forța de oprire acționează numai asupra mașinii.,Forța de oprire determină încetinirea mișcării mașinii și accelerarea mișcării cafelei.,
ARC-Challenge/train/Mercury_SC_408447,"În timp ce merge la parc, Archie se întreabă care rută ar fi mai rapidă. Decide să meargă la parc folosind rute diferite și să cronometreze cât timp ia fiecare. Ce ar trebui să facă pentru a face comparația lui corectă?",C,mergi cu aceeași viteză în fiecare zi,mergi cu un alt prieten în fiecare zi,mergi la diferite părți ale parcului în fiecare zi,mergi la aceeași oră în fiecare zi,
ARC-Challenge/train/Mercury_7043995,"Care factor descrie cel mai precis afirmația ""Supraviețuirea celui mai apt"" în relație cu selecția naturală?",B,cantitatea de hrană pe care o obține un organism,capacitatea de reproducere a descendenței,rata de mutație,capacitatea de a rezista la extremele de mediu,
ARC-Challenge/train/TAKS_2009_8_9,Care dintre acestea ar putea îmbunătăți cel mai probabil calitatea aerului în marile orașe din Texas?,A,Cererea vehiculelor mari să folosească combustibil diesel,Trecerea la sobe cu lemne pentru încălzirea locuințelor,Limitarea numărului de mașini pe drumuri,Mentenanța filtrelor din clădirile mari,
ARC-Challenge/train/MCAS_2007_8_5172,Care dintre următoarele substanțe poate fi separată în mai multe elemente?,C,aer,zinc,azot,aluminiu,
ARC-Challenge/train/Mercury_SC_405303,Care formă de apă este cea mai probabilă să apară când temperatura este sub punctul de îngheț?,C,zăpadă,ploaie,ceată,norii,
ARC-Challenge/train/MDSA_2010_5_35,Multe state cer ca vehiculele să fie examinate și să îndeplinească standardele de siguranță și de poluare. Ce impact ar putea avea inspecțiile vehiculelor asupra mediului înconjurător?,C,Mai puține poluanții vor fi eliberați de vehicule.,Mediul va deveni mai poluat.,Mediul nu va fi poluat.,Mai puține poluanții vor fi produși de vehiculele mai vechi.,
ARC-Challenge/train/Mercury_SC_LBS10647,"Toate acestea sunt modalități de a rămâne în siguranță în jurul electricității, cu excepția",C,a conecta mai multe aparate la o priză.,a utiliza cabluri în stare bună.,a vă îndepărta de firele de electricitate.,a evita contactul electricității cu apa.,
ARC-Challenge/train/Mercury_7217018,Un cercetător încrucișează o plantă de tomate rezistentă la virusuri cu o plantă de tomate care produce roșii mari. Aceasta reprezintă un exemplu de,C,creștere selectivă.,reproducere asexuală.,selecție naturală.,inginerie genetică.,
ARC-Challenge/train/Mercury_7057295,Un bloc de gheață este plasat pe o trotuar fierbinte. Gheața se topește pentru că,B,curentele de convecție curg între gheață și trotuar.,energia din trotuar se scurge în gheață.,energia din gheață se scurge pe trotuar.,radiația curge între gheață și trotuar.,
ARC-Challenge/train/MCAS_2008_5_5633,"Studenții doresc să planteze un pom de lămâie la școala lor, dar temperaturile scăzute din timpul iernii din Massachusetts ar distruge pomul. Care dintre următoarele este cea mai bună soluție la această problemă?",B,dând pomului de lămâie în plus îngrășământ în timpul iernii,construind o seră pentru a proteja pomul de lămâie,plantând mai multe pomi de lămâie împreună într-o linie,legând un beteală de pomul de lămâie pentru a oferi suport în timpul iernii,
ARC-Challenge/train/MEA_2011_8_8,De câte ori se rotește Pământul în jurul axei sale într-o zi?,A,de 24 de ori,de două ori,o singură dată,de 365 de ori,
ARC-Challenge/train/MSA_2012_8_41,Tabelul Periodic al Elementelor este aranjat astfel încât elementele cu caractere fizice similare sunt în aceeași coloană. Care element este un metal foarte reactiv?,C,magneziu (Mg),heliu (He),clor (Cl),argint (Ag),
ARC-Challenge/train/Mercury_402213,Care dintre următoarele nu ilustrează substanțe care reacționează pentru a forma alte substanțe?,A,2Na + Cl_{2} -> 2NaCl,2H_{2} + O_{2} -> 2H_{2}O,H_{2}O(l) -> H_{2}O(g),6CO_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6O_{2},
ARC-Challenge/train/Mercury_SC_405459,"Porumbul poate fi utilizat pentru a produce etanol, care este un combustibil pentru unele mașini. Ce problemă ar putea fi cauzată de creșterea utilizării etanolului?",D,creșterea vremii extreme,scăderea producției de porumb,creșterea producției de combustibili fosili,scăderea de nutrienți în sol,
ARC-Challenge/train/Mercury_7221253,"Elementele din familia metalelor alcalino-pamîntoase se află în aceeași grupă din tabelul periodic, deoarece toate au",B,șapte electroni de valență.,doi electroni de valență.,un electron de valență.,opt electroni de valență.,
ARC-Challenge/train/Mercury_7219083,Conținutul de izotopi radioactivi ai unei roci poate fi utilizat pentru a identifica care proprietate a rocii?,D,tipurile de fosile pe care le conține roca,viteza la care roca s-a format,masa totală a rocii,timpul trecut de la formarea rocii,
ARC-Challenge/train/Mercury_416466,"Care este adevărat despre reproducerea atât pentru o amibă, cât și pentru un parameciu?",D,"O amibă poate face conjugare, dar un parameciu nu poate.",Nici unul nu poate face conjugare.,Ambele pot face conjugare.,"Un parameciu poate face conjugare, dar o amibă nu poate.",
ARC-Challenge/train/MDSA_2010_4_1,"Un părinte și un copil împărtășesc mai multe caracteristici. Ambii indivizi sunt înalți, au păr creț, sunt bucătari buni și au pistrui. Care dintre aceste caracteristici este un comportament învățat?",C,a fi un bucătar bun,a avea păr creț,a fi înalt,a avea pistrui,
ARC-Challenge/train/Mercury_SC_405764,John folosea playerul său mp3 când a încetat brusc să mai funcționeze. Care este prima acțiune pe care John ar trebui să o ia pentru a încerca să corecteze problema?,A,înlocuiește playerul cu unul nou,demonstrează playerul,reîncarcă bateria,alege o altă melodie,
ARC-Challenge/train/Mercury_SC_415468,Ploile torențiale cauzează inundații într-un vale. Care animale ar prospera cel mai probabil?,B,deer,otters,porcupines,mice,
ARC-Challenge/train/Mercury_7141295,"Cum pot fi cel mai bine descrise împreună inima, vasele de sânge, rinichii și vezica urinară?",D,un organism.,un țesut.,o celulă.,un sistem.,
ARC-Challenge/train/Mercury_401400,"La anumite specii de plante, florile de culoare mov (P) sunt dominante față de cele albe (p). Dacă două plante heterozigote sunt încrucișate, care va fi fenotipul descendenților?",D,"75% flori albe, 25% flori mov",100% flori albe,100% flori mov,"25% flori albe, 75% flori mov",
ARC-Challenge/train/Mercury_401242,"Când un câine execută o acțiune specifică la comandă, cum ar fi așezarea, acțiunea este un exemplu de",B,comportament instinctiv.,comportament învățat.,comportament moștenit.,comportament de mediu.,
ARC-Challenge/train/TIMSS_2003_8_pg74,Cu ce animale sunt cele mai strâns legate pisicile dintre următoarele?,B,Broaștelor,Balenelor,Crocodiile,Pingvinilor,
